1604343778 0 97 0
1604343947 0 97 50
1604343963 176 97 50
1604344092 176 97 211
1604525091 433 97 211
1604792520 433 424 211
1604874343 703 424 211
1604874357 703 424 211
1604874904 703 424 211
1604874919 703 424 211
1604879538 703 424 211
1604879558 703 424 211
1604879582 703 424 211
1605043249 703 424 704
1605078797 703 424 704
1605078816 703 424 704
1605078854 703 424 704
1605222270 703 619 704
1605254038 703 631 704
1605530287 703 631 730
1605530351 703 631 756
1605531946 703 631 779
1605551379 704 631 779
1605551394 704 631 779
1605611508 704 631 779
1605611518 704 631 779
1605611665 704 631 779
1605611674 704 631 779
1605611682 704 631 779
1605611694 704 631 779
1605611704 704 631 779
1605611714 704 631 779
1605611832 704 632 779
1605611899 1244 632 779
1605612123 1244 632 779
1605612133 1244 632 779
1605614554 1244 632 779
1605614563 1244 632 779
1605614574 1244 632 779
1605614582 1244 632 779
1605614594 1244 632 779
1605614608 1244 632 779
1605614622 1244 632 779
1605614630 1244 632 779
1605614639 1244 632 779
1605614648 1244 632 779
1605615746 1273 632 779
1605615909 1293 632 779
1605615984 1295 632 779
1605616776 1298 632 779
1605617266 1298 632 779
1605617369 1301 632 779
1605617393 1303 632 779
1605617431 1305 632 779
1605617505 1306 632 779
