1604343778 0 1 0
1604343947 0 1 1
1604343963 1 1 1
1604344092 1 1 2
1604525091 2 1 2
1604792520 2 2 2
1604874343 3 2 2
1604874357 4 2 2
1604874904 5 2 2
1604874919 6 2 2
1604879538 6 3 2
1604879558 6 4 2
1604879582 6 5 2
1605043249 6 5 3
1605078797 6 6 3
1605078816 6 7 3
1605078854 6 8 3
1605222270 6 9 3
1605254038 6 10 3
1605530287 6 10 4
1605530351 6 10 5
1605531946 6 10 6
1605551379 7 10 6
1605551394 8 10 6
1605611508 9 10 6
1605611518 10 10 6
1605611665 11 10 6
1605611674 12 10 6
1605611682 13 10 6
1605611694 14 10 6
1605611704 15 10 6
1605611714 16 10 6
1605611832 16 11 6
1605611899 17 11 6
1605612123 18 11 6
1605612133 19 11 6
1605614554 20 11 6
1605614563 21 11 6
1605614574 22 11 6
1605614582 23 11 6
1605614594 24 11 6
1605614608 25 11 6
1605614622 26 11 6
1605614630 27 11 6
1605614639 28 11 6
1605614648 29 11 6
1605615746 30 11 6
1605615909 31 11 6
1605615984 32 11 6
1605616776 33 11 6
1605617266 33 12 6
1605617369 34 12 6
1605617393 35 12 6
1605617431 36 12 6
1605617505 37 12 6
